Customer_ID,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue
11925-MAH,One Year,No,Bank Withdrawal,25.0,1306.0,0.0,0.0,1571.0,2877.0
11939-UTT,Month-to-Month,Yes,Credit Card,80.0,583.0,0.0,0.0,215.0,799.0
11952-RAJ,Month-to-Month,Yes,Credit Card,71.0,515.0,0.0,0.0,349.0,865.0
11952-TEL,Month-to-Month,Yes,Credit Card,95.0,1555.0,0.0,0.0,303.0,1859.0
11958-TAM,Month-to-Month,Yes,Credit Card,108.0,4964.0,0.0,0.0,268.0,5233.0
11965-BIH,Month-to-Month,Yes,Credit Card,-8.0,3204.0,35.0,110.0,1074.0,4353.0
11987-PUN,One Year,No,Bank Withdrawal,69.0,477.0,0.0,0.0,132.0,609.0
11991-RAJ,One Year,No,Bank Withdrawal,113.0,7222.0,0.0,20.0,437.0,7679.0
12016-TAM,Month-to-Month,No,Mailed Check,20.0,164.0,0.0,0.0,337.0,502.0
12052-PUN,One Year,Yes,Bank Withdrawal,115.0,7396.0,0.0,0.0,2972.0,10368.0
12056-WES,Month-to-Month,No,Bank Withdrawal,90.0,268.0,0.0,0.0,94.0,362.0
12069-UTT,Month-to-Month,Yes,Bank Withdrawal,59.0,683.0,0.0,0.0,232.0,915.0
12079-MAH,Month-to-Month,Yes,Bank Withdrawal,79.0,260.0,0.0,0.0,8.0,269.0
12112-MAD,Month-to-Month,No,Credit Card,20.0,150.0,0.0,0.0,40.0,191.0
12118-TAM,One Year,No,Bank Withdrawal,85.0,5084.0,0.0,0.0,407.0,5492.0
12136-RAJ,Month-to-Month,No,Bank Withdrawal,19.0,19.0,0.0,0.0,11.0,31.0
12149-JAM,Month-to-Month,Yes,Bank Withdrawal,84.0,453.0,0.0,0.0,184.0,638.0
12170-AND,One Year,No,Mailed Check,77.0,1625.0,18.0,80.0,368.0,2055.0
12193-KER,One Year,Yes,Credit Card,109.0,6557.0,0.0,0.0,2387.0,8945.0
12210-AND,Month-to-Month,Yes,Credit Card,34.0,577.0,0.0,0.0,0.0,577.0
12210-DEL,Two Year,No,Bank Withdrawal,20.0,224.0,0.0,0.0,231.0,455.0
12225-TAM,Two Year,Yes,Mailed Check,85.0,5714.0,1.0,0.0,583.0,6296.0
12236-BIH,Month-to-Month,Yes,Credit Card,85.0,420.0,0.0,10.0,228.0,659.0
12255-KER,One Year,Yes,Bank Withdrawal,20.0,1359.0,0.0,0.0,2971.0,4331.0
12257-ASS,Month-to-Month,Yes,Credit Card,19.0,19.0,0.0,0.0,10.0,29.0
12266-HAR,Two Year,No,Bank Withdrawal,79.0,3870.0,0.0,0.0,429.0,4299.0
12272-WES,Two Year,No,Credit Card,39.0,1982.0,0.0,130.0,0.0,2112.0
12281-RAJ,Month-to-Month,Yes,Credit Card,78.0,864.0,0.0,0.0,194.0,1059.0
12296-MAD,One Year,Yes,Bank Withdrawal,45.0,1228.0,0.0,0.0,0.0,1228.0
12303-BIH,Two Year,No,Credit Card,88.0,6362.0,0.0,0.0,3319.0,9681.0
12305-AND,One Year,Yes,Credit Card,20.0,422.0,0.0,0.0,473.0,895.0
12337-MAH,Month-to-Month,Yes,Credit Card,58.0,939.0,0.0,0.0,221.0,1161.0
12340-DEL,Month-to-Month,Yes,Credit Card,62.0,62.0,0.0,0.0,42.0,104.0
12341-HAR,Month-to-Month,No,Bank Withdrawal,83.0,1799.0,0.0,0.0,252.0,2051.0
12342-KER,Two Year,Yes,Credit Card,99.0,6951.0,3.0,0.0,2439.0,9387.0
12345-TEL,Month-to-Month,Yes,Bank Withdrawal,95.0,1233.0,48.0,0.0,412.0,1597.0
12370-JAM,Month-to-Month,Yes,Bank Withdrawal,85.0,381.0,0.0,0.0,16.0,397.0
12377-JAM,Month-to-Month,No,Bank Withdrawal,19.0,641.0,0.0,0.0,395.0,1036.0
12377-UTT,One Year,No,Credit Card,24.0,538.0,0.0,0.0,1104.0,1642.0
12378-KAR,One Year,Yes,Bank Withdrawal,91.0,2483.0,0.0,0.0,383.0,2866.0
12382-WES,Two Year,No,Credit Card,81.0,3084.0,0.0,0.0,837.0,3922.0
12390-KAR,Two Year,Yes,Credit Card,66.0,4811.0,45.0,0.0,438.0,5204.0
12391-TEL,One Year,Yes,Credit Card,19.0,572.0,0.0,0.0,1337.0,1909.0
12426-KER,One Year,No,Credit Card,90.0,5825.0,0.0,100.0,580.0,6505.0
12429-JAM,Month-to-Month,No,Bank Withdrawal,24.0,838.0,0.0,0.0,329.0,1167.0
12437-TAM,Two Year,Yes,Credit Card,20.0,1035.0,0.0,0.0,584.0,1620.0
12443-AND,Month-to-Month,No,Credit Card,-7.0,80.0,0.0,0.0,4.0,84.0
12469-AND,Month-to-Month,Yes,Credit Card,55.0,55.0,0.0,0.0,36.0,91.0
12476-HAR,One Year,No,Bank Withdrawal,19.0,202.0,0.0,0.0,132.0,334.0
12490-TEL,Month-to-Month,Yes,Mailed Check,74.0,238.0,38.0,0.0,37.0,236.0
12505-GUJ,Month-to-Month,No,Bank Withdrawal,95.0,167.0,0.0,0.0,33.0,200.0
12510-MAH,Two Year,Yes,Bank Withdrawal,112.0,8041.0,0.0,0.0,839.0,8881.0
12511-DEL,One Year,No,Bank Withdrawal,78.0,1832.0,0.0,130.0,758.0,2721.0
12513-MAH,Two Year,No,Bank Withdrawal,104.0,6333.0,0.0,150.0,2128.0,8612.0
12516-TAM,Month-to-Month,Yes,Bank Withdrawal,101.0,3143.0,0.0,0.0,600.0,3744.0
12520-HAR,Month-to-Month,Yes,Bank Withdrawal,90.0,1862.0,0.0,30.0,136.0,2029.0
12528-JAM,Month-to-Month,Yes,Bank Withdrawal,95.0,573.0,0.0,0.0,287.0,861.0
12531-AND,Two Year,Yes,Bank Withdrawal,62.0,4136.0,0.0,0.0,0.0,4136.0
12536-KAR,One Year,Yes,Credit Card,38.0,970.0,0.0,100.0,0.0,1070.0
12541-WES,One Year,No,Credit Card,80.0,4847.0,0.0,0.0,966.0,5813.0
12545-ASS,Month-to-Month,Yes,Bank Withdrawal,74.0,521.0,28.0,0.0,341.0,834.0
12584-AND,Month-to-Month,No,Bank Withdrawal,70.0,1046.0,0.0,0.0,322.0,1368.0
12590-UTT,Two Year,No,Credit Card,25.0,1911.0,0.0,0.0,1164.0,3075.0
12592-AND,Two Year,No,Bank Withdrawal,19.0,1414.0,0.0,0.0,3294.0,4708.0
12622-MAD,One Year,Yes,Mailed Check,19.0,1033.0,29.0,0.0,894.0,1897.0
12645-MAH,Month-to-Month,Yes,Bank Withdrawal,79.0,1742.0,0.0,0.0,288.0,2031.0
12657-JAM,Two Year,Yes,Credit Card,112.0,8126.0,0.0,0.0,1245.0,9372.0
12660-KER,Month-to-Month,Yes,Credit Card,25.0,712.0,0.0,0.0,0.0,712.0
12678-UTT,Two Year,Yes,Bank Withdrawal,25.0,332.0,0.0,0.0,457.0,789.0
12690-TAM,Month-to-Month,Yes,Bank Withdrawal,94.0,1046.0,7.0,120.0,153.0,1311.0
12695-BIH,One Year,No,Credit Card,19.0,501.0,0.0,0.0,544.0,1046.0
12699-TEL,Month-to-Month,No,Bank Withdrawal,44.0,559.0,37.0,90.0,80.0,692.0
12728-AND,Month-to-Month,Yes,Credit Card,80.0,324.0,0.0,0.0,154.0,479.0
12736-ASS,Month-to-Month,Yes,Bank Withdrawal,69.0,69.0,0.0,0.0,22.0,91.0
12739-HAR,Two Year,No,Credit Card,88.0,5321.0,0.0,0.0,1194.0,6515.0
12746-WES,Month-to-Month,Yes,Credit Card,19.0,59.0,0.0,0.0,139.0,198.0
12752-RAJ,Two Year,No,Credit Card,20.0,1424.0,0.0,0.0,3291.0,4716.0
12762-TAM,Two Year,Yes,Credit Card,19.0,494.0,0.0,0.0,1111.0,1605.0
12808-MAH,Month-to-Month,Yes,Credit Card,102.0,2660.0,0.0,0.0,912.0,3572.0
12814-JHA,One Year,Yes,Credit Card,54.0,2319.0,0.0,0.0,1891.0,4211.0
12836-JHA,Two Year,Yes,Credit Card,110.0,7430.0,23.0,0.0,393.0,7801.0
12842-TAM,Month-to-Month,No,Bank Withdrawal,101.0,385.0,0.0,0.0,38.0,424.0
12852-KER,One Year,Yes,Credit Card,104.0,7459.0,0.0,130.0,1259.0,8848.0
12853-HAR,Month-to-Month,Yes,Bank Withdrawal,80.0,3168.0,41.0,0.0,1568.0,4695.0
12882-PUN,Two Year,No,Credit Card,25.0,1797.0,0.0,0.0,298.0,2095.0
12927-JAM,Month-to-Month,No,Credit Card,44.0,659.0,0.0,0.0,346.0,1005.0
12929-MAH,Month-to-Month,Yes,Bank Withdrawal,31.0,926.0,0.0,0.0,0.0,926.0
12929-RAJ,Two Year,No,Credit Card,25.0,1334.0,0.0,0.0,1202.0,2536.0
12955-MAH,Month-to-Month,No,Credit Card,19.0,119.0,0.0,0.0,38.0,158.0
12987-JAM,One Year,No,Credit Card,44.0,681.0,0.0,0.0,221.0,902.0
12999-BIH,Month-to-Month,Yes,Bank Withdrawal,54.0,1152.0,0.0,0.0,599.0,1751.0
13005-HAR,Month-to-Month,Yes,Credit Card,80.0,5224.0,0.0,140.0,3008.0,8373.0
13006-WES,One Year,No,Bank Withdrawal,89.0,5769.0,18.0,0.0,3206.0,8957.0
13022-MAD,Two Year,Yes,Bank Withdrawal,19.0,1134.0,0.0,0.0,1326.0,2461.0
13035-KAR,Month-to-Month,Yes,Bank Withdrawal,-4.0,1614.0,0.0,0.0,65.0,1679.0
13036-KAR,Two Year,No,Credit Card,54.0,1291.0,0.0,110.0,207.0,1609.0
13038-ODI,One Year,Yes,Bank Withdrawal,96.0,4391.0,0.0,0.0,732.0,5124.0
13038-WES,Month-to-Month,Yes,Bank Withdrawal,69.0,921.0,0.0,0.0,518.0,1439.0
13047-KER,Two Year,No,Credit Card,20.0,91.0,0.0,0.0,167.0,259.0
13055-UTT,One Year,Yes,Bank Withdrawal,106.0,7397.0,0.0,0.0,415.0,7812.0
13058-MAD,Month-to-Month,Yes,Mailed Check,46.0,130.0,0.0,0.0,7.0,138.0
13072-TAM,Two Year,Yes,Mailed Check,40.0,2799.0,0.0,0.0,0.0,2799.0
13079-JAM,Month-to-Month,Yes,Credit Card,88.0,788.0,0.0,0.0,319.0,1107.0
13086-KAR,Month-to-Month,Yes,Bank Withdrawal,45.0,45.0,0.0,0.0,11.0,56.0
13096-AND,Month-to-Month,Yes,Bank Withdrawal,83.0,2757.0,0.0,40.0,669.0,3467.0
13123-BIH,Month-to-Month,No,Bank Withdrawal,100.0,198.0,0.0,10.0,45.0,253.0
13179-MAD,Month-to-Month,Yes,Bank Withdrawal,98.0,560.0,0.0,0.0,284.0,844.0
13183-JAM,Month-to-Month,Yes,Bank Withdrawal,89.0,2196.0,0.0,0.0,461.0,2657.0
13189-PUN,One Year,No,Credit Card,19.0,260.0,0.0,0.0,439.0,700.0
13194-UTT,One Year,No,Credit Card,115.0,7968.0,0.0,10.0,1201.0,9180.0
13203-RAJ,Month-to-Month,Yes,Bank Withdrawal,95.0,1679.0,38.0,0.0,133.0,1774.0
13207-MAD,Month-to-Month,No,Credit Card,54.0,235.0,0.0,0.0,27.0,262.0
13208-HAR,One Year,Yes,Bank Withdrawal,90.0,3838.0,0.0,0.0,540.0,4379.0
13281-GUJ,Two Year,Yes,Credit Card,107.0,7919.0,0.0,0.0,3019.0,10939.0
13300-KAR,Two Year,Yes,Bank Withdrawal,54.0,3937.0,0.0,0.0,0.0,3937.0
13304-KER,Two Year,Yes,Credit Card,24.0,1732.0,0.0,0.0,582.0,2315.0
13305-RAJ,One Year,Yes,Bank Withdrawal,50.0,3088.0,0.0,20.0,0.0,3108.0
13305-WES,One Year,Yes,Credit Card,108.0,7181.0,0.0,0.0,458.0,7639.0
13318-AND,Month-to-Month,Yes,Mailed Check,31.0,31.0,0.0,80.0,0.0,111.0
13319-MAD,Two Year,Yes,Bank Withdrawal,99.0,7168.0,0.0,0.0,870.0,8038.0
13323-BIH,One Year,No,Credit Card,19.0,295.0,0.0,0.0,655.0,950.0
13339-KAR,One Year,Yes,Bank Withdrawal,49.0,2961.0,0.0,0.0,2613.0,5575.0
13361-UTT,One Year,No,Credit Card,55.0,864.0,0.0,80.0,24.0,969.0
13373-TAM,Two Year,Yes,Credit Card,20.0,1521.0,0.0,0.0,1686.0,3208.0
13380-JAM,Month-to-Month,Yes,Bank Withdrawal,-1.0,1373.0,15.0,0.0,483.0,1840.0
13399-HAR,Month-to-Month,Yes,Bank Withdrawal,44.0,2104.0,0.0,0.0,0.0,2104.0
13429-MAH,Two Year,Yes,Credit Card,94.0,5948.0,0.0,0.0,81.0,6029.0
13429-WES,Two Year,Yes,Bank Withdrawal,84.0,5986.0,0.0,0.0,2724.0,8711.0
13442-TAM,Month-to-Month,Yes,Bank Withdrawal,99.0,5623.0,0.0,30.0,2325.0,7979.0
13443-HAR,Month-to-Month,Yes,Mailed Check,20.0,137.0,0.0,0.0,211.0,349.0
13455-BIH,Two Year,No,Credit Card,20.0,467.0,0.0,0.0,687.0,1154.0
13495-BIH,Month-to-Month,No,Bank Withdrawal,78.0,1422.0,0.0,0.0,89.0,1512.0
13500-BIH,One Year,Yes,Credit Card,56.0,2928.0,0.0,0.0,0.0,2928.0
13510-JAM,One Year,No,Credit Card,34.0,1113.0,0.0,0.0,0.0,1113.0
13539-ODI,Two Year,No,Bank Withdrawal,95.0,5655.0,0.0,0.0,1795.0,7451.0
13542-UTT,Month-to-Month,Yes,Bank Withdrawal,100.0,6851.0,0.0,0.0,1450.0,8302.0
13561-JHA,Month-to-Month,No,Bank Withdrawal,45.0,45.0,0.0,0.0,34.0,79.0
13567-AND,Month-to-Month,Yes,Bank Withdrawal,35.0,607.0,0.0,50.0,0.0,657.0
13572-AND,Month-to-Month,Yes,Bank Withdrawal,44.0,926.0,0.0,0.0,817.0,1744.0
13579-MAD,One Year,No,Bank Withdrawal,59.0,2209.0,0.0,0.0,264.0,2473.0
13621-JAM,Month-to-Month,Yes,Bank Withdrawal,89.0,2277.0,0.0,0.0,236.0,2513.0
13623-TAM,Two Year,Yes,Bank Withdrawal,79.0,5515.0,0.0,0.0,3260.0,8776.0
13626-MAH,One Year,No,Credit Card,40.0,1564.0,0.0,0.0,0.0,1564.0
13632-GUJ,Two Year,Yes,Bank Withdrawal,104.0,7349.0,0.0,0.0,2753.0,10103.0
13637-MAD,One Year,No,Credit Card,54.0,3045.0,0.0,0.0,0.0,3045.0
13642-TAM,Month-to-Month,Yes,Credit Card,20.0,162.0,0.0,0.0,281.0,443.0
13643-ASS,Month-to-Month,No,Bank Withdrawal,46.0,639.0,0.0,0.0,364.0,1003.0
13654-BIH,Month-to-Month,Yes,Credit Card,99.0,1301.0,0.0,0.0,313.0,1615.0
13664-TAM,Month-to-Month,Yes,Bank Withdrawal,79.0,79.0,0.0,0.0,19.0,99.0
13666-UTT,Month-to-Month,No,Bank Withdrawal,95.0,293.0,0.0,0.0,51.0,344.0
13682-RAJ,Month-to-Month,No,Mailed Check,20.0,382.0,0.0,0.0,891.0,1273.0
13683-AND,One Year,No,Bank Withdrawal,51.0,2264.0,0.0,0.0,0.0,2264.0
13685-PUN,Month-to-Month,Yes,Bank Withdrawal,100.0,3480.0,0.0,20.0,785.0,4285.0
13703-TEL,Month-to-Month,Yes,Bank Withdrawal,75.0,438.0,0.0,0.0,127.0,565.0
13715-UTT,Two Year,No,Credit Card,25.0,1715.0,0.0,0.0,732.0,2447.0
13717-UTT,Month-to-Month,Yes,Bank Withdrawal,68.0,351.0,0.0,0.0,93.0,444.0
13744-AND,Month-to-Month,Yes,Bank Withdrawal,19.0,19.0,0.0,0.0,13.0,33.0
13745-UTT,Month-to-Month,Yes,Bank Withdrawal,68.0,68.0,0.0,0.0,30.0,99.0
13751-PUN,Month-to-Month,No,Credit Card,20.0,265.0,0.0,0.0,467.0,732.0
13778-MAD,One Year,No,Bank Withdrawal,24.0,1203.0,36.0,0.0,1140.0,2308.0
13793-WES,One Year,Yes,Bank Withdrawal,104.0,5743.0,0.0,0.0,583.0,6326.0
13795-DEL,Month-to-Month,Yes,Bank Withdrawal,100.0,5749.0,0.0,0.0,2745.0,8495.0
13796-KAR,Two Year,Yes,Bank Withdrawal,111.0,4507.0,0.0,0.0,1253.0,5760.0
13819-TAM,One Year,Yes,Credit Card,85.0,979.0,0.0,0.0,191.0,1170.0
13823-KAR,One Year,No,Mailed Check,61.0,2021.0,0.0,0.0,1343.0,3364.0
13823-TEL,Month-to-Month,No,Bank Withdrawal,24.0,46.0,0.0,0.0,0.0,46.0
13828-UTT,Month-to-Month,Yes,Bank Withdrawal,25.0,507.0,0.0,0.0,737.0,1244.0
13829-PUN,Month-to-Month,No,Bank Withdrawal,30.0,30.0,0.0,0.0,0.0,30.0
13912-UTT,One Year,No,Credit Card,19.0,1026.0,0.0,0.0,1992.0,3019.0
13946-HAR,Month-to-Month,No,Credit Card,19.0,19.0,0.0,0.0,23.0,43.0
13950-KAR,Two Year,Yes,Bank Withdrawal,105.0,7555.0,0.0,60.0,742.0,8357.0
13973-WES,Month-to-Month,Yes,Bank Withdrawal,71.0,3444.0,0.0,0.0,230.0,3674.0
13977-GUJ,One Year,No,Bank Withdrawal,19.0,1004.0,0.0,0.0,528.0,1533.0
13985-MAH,Two Year,Yes,Credit Card,101.0,6841.0,0.0,0.0,2602.0,9444.0
14003-KAR,Month-to-Month,No,Mailed Check,19.0,78.0,0.0,0.0,80.0,159.0
14010-GUJ,Month-to-Month,Yes,Bank Withdrawal,99.0,2369.0,19.0,0.0,1210.0,3560.0
14030-UTT,Two Year,No,Credit Card,56.0,3112.0,0.0,0.0,129.0,3241.0
14048-TEL,Two Year,No,Credit Card,19.0,1379.0,0.0,0.0,3458.0,4838.0
14078-MAH,Month-to-Month,No,Credit Card,19.0,63.0,0.0,0.0,77.0,141.0
14087-UTT,One Year,No,Credit Card,89.0,1288.0,45.0,0.0,25.0,1267.0
14094-AND,One Year,No,Credit Card,18.0,279.0,0.0,0.0,326.0,605.0
14158-MAH,Month-to-Month,No,Bank Withdrawal,25.0,58.0,0.0,0.0,0.0,58.0
14178-MAH,Month-to-Month,Yes,Bank Withdrawal,96.0,3436.0,0.0,0.0,597.0,4034.0
14214-KAR,Month-to-Month,No,Credit Card,20.0,186.0,0.0,0.0,23.0,209.0
14237-BIH,Two Year,No,Credit Card,25.0,1789.0,0.0,0.0,2644.0,4434.0
14244-MAD,Month-to-Month,Yes,Credit Card,80.0,4896.0,0.0,40.0,1189.0,6125.0
14262-AND,Two Year,Yes,Bank Withdrawal,79.0,4362.0,0.0,0.0,2521.0,6883.0
14268-UTT,Month-to-Month,Yes,Bank Withdrawal,86.0,86.0,0.0,0.0,28.0,114.0
14277-GUJ,Month-to-Month,Yes,Mailed Check,88.0,454.0,0.0,0.0,207.0,662.0
14277-WES,One Year,Yes,Mailed Check,69.0,1545.0,0.0,0.0,1099.0,2644.0
14291-PUN,Month-to-Month,No,Mailed Check,44.0,44.0,0.0,0.0,32.0,76.0
14301-HAR,Month-to-Month,Yes,Bank Withdrawal,113.0,4594.0,0.0,0.0,205.0,4800.0
14311-UTT,Two Year,No,Credit Card,25.0,300.0,0.0,0.0,165.0,466.0
14319-TAM,Month-to-Month,Yes,Bank Withdrawal,55.0,55.0,0.0,0.0,26.0,82.0
14331-DEL,Month-to-Month,No,Bank Withdrawal,19.0,198.0,0.0,0.0,99.0,297.0
14346-TEL,One Year,Yes,Bank Withdrawal,24.0,1266.0,47.0,0.0,1752.0,2970.0
14356-DEL,One Year,Yes,Credit Card,97.0,5936.0,0.0,0.0,707.0,6643.0
14372-JAM,Two Year,No,Credit Card,19.0,1208.0,0.0,0.0,1278.0,2487.0
14373-RAJ,Month-to-Month,Yes,Credit Card,80.0,80.0,0.0,0.0,14.0,95.0
14389-DEL,One Year,Yes,Bank Withdrawal,89.0,2177.0,0.0,0.0,840.0,3018.0
14390-UTT,Two Year,Yes,Credit Card,81.0,3533.0,0.0,0.0,1170.0,4704.0
14399-MAD,One Year,No,Credit Card,35.0,1958.0,0.0,0.0,0.0,1958.0
14407-MAH,Two Year,No,Credit Card,19.0,1147.0,0.0,0.0,1106.0,2254.0
14424-JHA,Two Year,Yes,Credit Card,59.0,3808.0,0.0,0.0,664.0,4473.0
14446-JAM,Month-to-Month,Yes,Bank Withdrawal,74.0,334.0,0.0,0.0,228.0,563.0
14456-AND,Month-to-Month,No,Credit Card,74.0,2971.0,0.0,0.0,742.0,3714.0
14458-BIH,Two Year,No,Credit Card,82.0,2603.0,0.0,0.0,53.0,2656.0
14458-MAH,Two Year,No,Credit Card,20.0,833.0,0.0,0.0,131.0,965.0
14486-HAR,Two Year,No,Credit Card,90.0,6297.0,0.0,0.0,231.0,6529.0
14486-PUN,Two Year,No,Credit Card,25.0,1710.0,0.0,0.0,2468.0,4179.0
14495-AND,Month-to-Month,No,Credit Card,54.0,452.0,0.0,0.0,400.0,852.0
14528-TAM,Month-to-Month,Yes,Bank Withdrawal,76.0,2093.0,30.0,0.0,1071.0,3134.0
14567-TAM,Month-to-Month,No,Credit Card,20.0,20.0,0.0,0.0,44.0,64.0
14570-HAR,Two Year,Yes,Bank Withdrawal,108.0,7082.0,21.0,0.0,3154.0,10215.0
14570-KAR,One Year,Yes,Bank Withdrawal,108.0,5431.0,0.0,0.0,2079.0,7510.0
