service_id,Value_Deal,Phone_Service,Multiple_Lines,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Internet_ID,Customer_ID
180,Deal 5,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,9,59949-KAR
181,None,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,9,28452-UTT
182,None,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,9,41986-CHH
183,None,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,15658-RAJ
184,None,Yes,No,No,No,No,No,No,No,No,Yes,21,28367-TAM
185,None,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3,67882-JAM
186,Deal 2,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,9,97824-BIH
187,None,Yes,No,No,No,No,No,No,No,No,Yes,21,63437-MAH
188,None,No,No,Yes,No,No,Yes,No,No,No,No,9,83900-HAR
189,None,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,3,46172-ASS
190,Deal 4,Yes,No,No,No,No,No,No,No,No,Yes,21,52174-UTT
191,None,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,3,68783-JAM
192,None,No,No,No,Yes,Yes,Yes,No,No,No,Yes,9,59509-ODI
193,None,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,3,43887-MAH
194,None,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,57878-MAH
195,None,Yes,No,No,No,No,No,No,No,No,Yes,21,18160-KAR
196,None,Yes,No,Yes,No,No,No,No,No,No,Yes,9,49879-UTT
197,None,Yes,No,No,No,No,No,Yes,Yes,Yes,No,3,87436-TAM
198,Deal 5,Yes,No,Yes,Yes,No,No,No,No,No,No,1,78962-TAM
199,None,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,3,75305-KAR
200,None,Yes,No,No,No,No,No,Yes,No,Yes,No,3,44755-JHA
201,None,Yes,No,No,No,No,No,No,No,No,Yes,21,36995-TAM
202,Deal 5,Yes,No,No,Yes,No,No,Yes,No,No,Yes,9,82129-JHA
203,Deal 2,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,3,48217-KAR
204,None,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,3,56933-MAH
205,None,Yes,No,No,No,No,No,No,No,No,Yes,9,68194-UTT
206,None,Yes,No,Yes,No,No,No,No,No,No,Yes,9,18228-AND
207,None,Yes,Yes,No,No,No,No,No,No,No,Yes,21,27880-AND
208,None,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,1,13542-UTT
209,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,3,37338-RAJ
210,Deal 3,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,3,46512-ODI
211,None,Yes,No,No,No,No,No,No,No,No,Yes,3,29172-BIH
212,None,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,3,52951-RAJ
213,Deal 2,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3,29736-WES
214,Deal 5,Yes,No,No,No,No,No,No,No,No,Yes,3,34205-UTT
215,Deal 5,Yes,Yes,No,Yes,No,No,No,No,No,Yes,3,93684-JAM
216,None,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,1,68632-JAM
217,None,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,9,15714-KAR
218,Deal 1,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,9,46547-GUJ
219,None,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,3,36829-HAR
220,Deal 2,No,No,Yes,Yes,Yes,No,No,No,No,Yes,9,29772-PUN
221,None,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,3,69510-JAM
222,None,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,95958-MAH
223,None,Yes,No,No,No,No,No,No,No,No,Yes,21,87675-UTT
224,None,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,3,59068-JAM
225,None,Yes,No,No,No,No,No,No,No,No,Yes,21,43027-HAR
226,Deal 3,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,3,41514-UTT
227,Deal 4,Yes,No,No,No,No,No,No,No,No,Yes,1,56595-KAR
228,None,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,3,82770-UTT
229,Deal 3,Yes,No,No,No,No,No,No,No,No,Yes,21,95165-GUJ
230,Deal 1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9,69379-UTT
231,None,Yes,No,No,No,No,No,No,No,No,Yes,21,69775-KER
232,None,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,3,51415-WES
233,Deal 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,63347-TEL
234,Deal 4,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3,83118-MAH
235,Deal 4,Yes,No,No,No,Yes,Yes,No,No,No,Yes,3,96715-HAR
236,None,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,3,27946-AND
237,None,Yes,No,No,No,No,No,No,No,No,Yes,21,39764-UTT
238,Deal 3,Yes,No,No,No,No,No,No,No,No,Yes,3,21617-PUD
239,Deal 5,No,No,Yes,Yes,Yes,No,No,No,No,Yes,1,71454-KAR
240,Deal 5,Yes,No,Yes,No,No,No,No,No,No,No,9,29626-WES
241,None,Yes,No,No,No,No,No,No,No,No,Yes,21,67669-GUJ
242,None,Yes,No,No,No,No,No,No,No,No,Yes,1,47133-ODI
243,Deal 5,No,No,No,No,No,No,Yes,No,No,Yes,9,32214-HAR
244,Deal 3,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,3,99032-KAR
245,Deal 4,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,9,47154-BIH
246,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,24356-UTT
247,None,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,3,69406-HAR
248,None,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,3,61318-ASS
249,Deal 2,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,1,77078-PUN
250,None,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,9,92115-UTT
251,None,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,3,62021-RAJ
252,None,Yes,No,No,No,No,No,No,No,No,Yes,21,82119-UTT
253,Deal 1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,9,59955-TAM
254,None,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1,21960-HAR
255,Deal 4,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,9,77919-MAH
256,None,Yes,No,No,No,No,No,No,No,No,Yes,21,21438-BIH
257,None,Yes,No,Yes,No,No,No,No,No,No,Yes,3,54055-TEL
258,Deal 5,Yes,No,No,No,No,No,No,No,No,Yes,3,88912-MAD
259,None,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,11922-PUN
260,None,Yes,Yes,No,No,No,No,No,No,No,Yes,21,24529-TAM
261,None,Yes,No,No,No,No,No,No,No,No,Yes,21,62842-HAR
262,Deal 4,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,9,71910-WES
263,Deal 3,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,3,39718-KAR
264,None,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,3,45744-WES
265,Deal 1,Yes,No,No,No,No,No,No,No,No,Yes,21,71925-BIH
266,None,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,3,38495-PUN
267,None,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3,36853-MAH
268,Deal 1,Yes,Yes,No,No,No,No,No,No,No,Yes,21,69406-AND
269,Deal 1,Yes,No,No,No,No,No,No,No,No,Yes,21,15588-BIH
270,Deal 5,Yes,Yes,No,No,No,No,No,No,Yes,Yes,3,45654-PUN
271,Deal 2,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,3,44434-ASS
272,None,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,3,37598-UTT
273,Deal 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3,83600-MAH
274,Deal 3,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,3,39193-TAM
275,None,Yes,Yes,No,No,No,No,Yes,No,No,No,9,21288-MAH
276,Deal 5,Yes,No,No,No,No,No,No,No,No,Yes,9,48712-GUJ
277,Deal 2,Yes,No,No,Yes,No,No,Yes,No,No,Yes,3,33051-UTT
278,None,No,No,No,No,No,No,No,No,No,Yes,9,77868-JAM
279,None,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,3,91456-ASS
280,Deal 1,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,9,36634-PUN
281,None,Yes,No,No,No,No,No,No,No,No,Yes,21,41662-PUN
282,Deal 2,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,3,22463-JAM
283,None,Yes,No,No,No,No,Yes,No,No,No,Yes,9,25826-MAH
284,Deal 5,Yes,No,No,No,No,No,No,No,No,Yes,21,36589-UTT
285,Deal 3,Yes,No,No,No,No,No,No,No,No,Yes,21,54366-WES
286,None,Yes,No,No,No,Yes,No,Yes,No,No,Yes,3,56436-UTT
287,None,Yes,Yes,No,No,No,No,No,No,No,Yes,9,43387-MAD
288,None,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,3,42084-BIH
289,None,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,3,83994-DEL
290,Deal 2,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,3,79991-HAR
291,Deal 1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,9,12225-TAM
292,Deal 4,Yes,No,No,Yes,No,No,No,No,No,No,3,76472-TAM
293,Deal 2,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,1,96409-MAD
294,None,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,9,42942-MAH
295,Deal 2,Yes,Yes,No,No,No,No,No,No,No,Yes,9,41987-JAM
296,None,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,3,56831-CHH
297,None,Yes,No,No,No,No,No,No,No,No,Yes,21,21722-AND
298,Deal 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,3,82030-ASS
299,None,No,No,Yes,No,Yes,No,No,Yes,Yes,No,1,31688-CHH
300,Deal 3,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,3,96903-BIH
301,Deal 3,Yes,No,No,Yes,No,Yes,No,No,No,Yes,3,97435-UTT
302,None,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9,48942-TEL
303,None,Yes,No,No,No,No,No,No,No,No,Yes,3,24754-AND
304,Deal 4,No,No,No,No,Yes,Yes,No,No,No,No,1,97908-GUJ
305,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,9,96185-RAJ
306,None,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,3,25214-BIH
307,None,Yes,Yes,No,No,No,No,No,No,No,Yes,21,12929-RAJ
308,Deal 5,Yes,No,No,No,No,No,No,No,No,Yes,21,62497-BIH
309,None,Yes,No,No,No,No,No,No,Yes,Yes,No,9,58826-TAM
