Customer_ID,Gender,Age,Married,Number_of_Referrals,Tenure_in_Months,churn_id,state_id
12622-MAD,Female,34,No,15,36,1,20
12645-MAH,Female,23,Yes,8,4,4,2
12657-JAM,Male,46,No,7,33,1,41
12660-KER,Female,58,No,10,17,67,73
12678-UTT,Female,45,No,11,2,1,10
12690-TAM,Female,54,No,10,35,212,5
12695-BIH,Female,39,Yes,3,20,1,16
12699-TEL,Female,23,Yes,13,8,1,6
12728-AND,Female,28,Yes,2,13,1,19
12736-ASS,Female,62,No,10,3,26,46
12739-HAR,Male,57,Yes,1,31,1,32
12746-WES,Male,53,No,7,17,1,3
12752-RAJ,Female,30,No,4,17,1,11
12762-TAM,Female,39,No,11,18,1,5
12808-MAH,Male,70,Yes,4,9,212,2
12814-JHA,Female,62,Yes,13,10,26,29
12836-JHA,Male,32,No,6,11,1,29
12842-TAM,Female,26,Yes,11,8,3,5
12852-KER,Female,39,Yes,2,12,1,73
12853-HAR,Male,37,No,11,18,1,32
12882-PUN,Female,35,No,10,13,1,26
12927-JAM,Male,24,No,0,12,1,41
12929-MAH,Female,31,Yes,1,29,1,2
12929-RAJ,Female,30,Yes,7,10,1,11
12955-MAH,Female,38,Yes,6,36,1,2
12987-JAM,Male,30,No,11,3,1,41
12999-BIH,Female,52,No,5,34,26,16
13005-HAR,Male,69,No,2,14,63,32
13006-WES,Female,36,No,0,24,5,3
13022-MAD,Female,57,Yes,1,20,1,20
13035-KAR,Female,80,Yes,2,33,1,4
13036-KAR,Female,69,Yes,3,4,1,4
13038-ODI,Female,18,No,2,5,1,69
13038-WES,Male,57,Yes,9,29,1,3
13047-KER,Female,64,No,3,12,1,73
13055-UTT,Male,49,No,15,33,1,10
13058-MAD,Female,58,No,13,22,18,20
13072-TAM,Female,20,Yes,4,2,1,5
13079-JAM,Female,19,No,10,8,1,41
13086-KAR,Female,29,No,14,20,22,4
13096-AND,Male,53,Yes,8,32,212,19
13123-BIH,Female,46,No,13,18,18,16
13179-MAD,Male,80,Yes,8,24,63,20
13183-JAM,Female,70,No,5,24,3,41
13189-PUN,Female,60,No,0,18,1,26
13194-UTT,Female,48,No,10,36,4,51
13203-RAJ,Female,49,Yes,10,20,1,11
13207-MAD,Female,35,No,8,4,1,20
13208-HAR,Female,60,Yes,8,20,1,32
13281-GUJ,Female,25,No,8,2,1,8
13300-KAR,Female,52,No,2,11,72,4
13304-KER,Female,33,No,5,25,1,73
13305-RAJ,Female,26,Yes,14,26,1,11
13305-WES,Female,71,No,0,21,1,3
13318-AND,Male,45,No,11,25,26,19
13319-MAD,Female,79,Yes,10,8,1,20
13323-BIH,Female,59,Yes,5,31,1,16
13339-KAR,Female,33,Yes,15,20,1,4
13361-UTT,Female,59,No,10,6,1,10
13373-TAM,Female,26,Yes,1,31,1,5
13380-JAM,Male,52,No,3,8,1,41
13399-HAR,Female,65,No,11,18,1,32
13429-MAH,Female,47,No,0,14,1,2
13429-WES,Female,48,No,12,11,1,3
13442-TAM,Female,59,Yes,13,8,1,5
13443-HAR,Female,54,No,14,2,1,32
13455-BIH,Male,66,No,3,25,1,16
13495-BIH,Male,70,Yes,5,4,63,16
13500-BIH,Male,51,No,9,18,1,16
13510-JAM,Male,63,Yes,0,28,1,41
13539-ODI,Female,38,Yes,5,24,1,69
13542-UTT,Male,71,Yes,11,20,72,10
13561-JHA,Male,52,No,6,7,288,29
13567-AND,Male,47,Yes,14,18,1,19
13572-AND,Female,35,Yes,1,17,1,19
13579-MAD,Female,66,No,12,9,1,20
13621-JAM,Male,67,No,4,8,22,41
13623-TAM,Female,40,No,13,29,1,5
13626-MAH,Male,58,No,11,1,1,2
13632-GUJ,Female,74,Yes,10,1,1,8
13637-MAD,Male,63,Yes,10,18,1,20
13642-TAM,Female,24,No,8,9,1,5
13643-ASS,Male,29,Yes,13,29,1,46
13654-BIH,Female,33,No,10,34,86,16
13664-TAM,Female,44,Yes,5,31,193,5
13666-UTT,Male,57,Yes,15,16,18,51
13682-RAJ,Male,50,Yes,10,34,1,11
13683-AND,Female,56,Yes,12,8,1,19
13685-PUN,Male,25,Yes,5,21,288,26
13703-TEL,Male,36,Yes,5,20,4,6
13715-UTT,Male,58,No,13,14,1,10
13717-UTT,Male,56,Yes,15,26,1,10
13744-AND,Female,41,Yes,8,3,18,19
13745-UTT,Female,38,Yes,0,29,72,10
13751-PUN,Male,38,No,13,6,1,26
13778-MAD,Female,60,Yes,3,9,1,20
13793-WES,Female,26,Yes,10,2,3,3
13795-DEL,Female,77,No,3,4,1,1
13796-KAR,Female,24,Yes,14,11,1,4
13819-TAM,Female,57,No,13,21,1,5
13823-KAR,Male,22,No,4,6,1,4
13823-TEL,Female,31,Yes,1,28,18,6
13828-UTT,Female,49,No,7,22,1,10
13829-PUN,Female,34,Yes,12,26,26,26
13912-UTT,Female,39,Yes,0,34,1,10
13946-HAR,Female,41,Yes,1,3,18,32
13950-KAR,Female,39,No,8,6,1,4
13973-WES,Female,66,Yes,2,11,288,3
13977-GUJ,Male,41,No,8,22,1,8
13985-MAH,Male,81,No,6,27,1,2
14003-KAR,Female,34,Yes,14,12,1,4
14010-GUJ,Female,30,No,9,26,72,8
14030-UTT,Female,24,No,0,6,1,10
14048-TEL,Male,50,No,15,9,1,6
14078-MAH,Female,28,Yes,6,18,25,2
14087-UTT,Female,77,No,2,17,1,10
14094-AND,Male,59,No,7,6,1,19
14158-MAH,Male,60,No,9,33,3,2
14178-MAH,Male,82,Yes,0,7,86,2
14214-KAR,Female,62,Yes,1,10,1,4
14237-BIH,Male,83,Yes,7,2,1,16
14244-MAD,Female,32,Yes,9,21,1,20
14262-AND,Male,27,Yes,9,9,1,19
14268-UTT,Male,68,Yes,7,18,20,10
14277-GUJ,Female,33,Yes,14,1,67,8
14277-WES,Male,75,No,15,18,1,3
14291-PUN,Female,40,No,6,33,3,26
14301-HAR,Female,38,Yes,3,15,409,32
14311-UTT,Male,52,Yes,13,32,1,10
14319-TAM,Male,69,Yes,13,15,193,5
14331-DEL,Female,46,Yes,14,30,1,1
14346-TEL,Female,53,Yes,11,3,1,6
14356-DEL,Male,62,Yes,1,19,1,1
14372-JAM,Female,43,Yes,13,28,1,41
14373-RAJ,Male,69,Yes,4,31,3,11
14389-DEL,Female,78,No,4,33,20,1
14390-UTT,Female,45,No,3,11,1,10
14399-MAD,Female,56,Yes,8,9,1,20
14407-MAH,Female,31,No,14,26,1,2
14424-JHA,Male,41,Yes,14,13,1,29
14446-JAM,Female,73,Yes,13,32,4,41
14456-AND,Female,52,No,13,4,1,19
14458-BIH,Male,48,Yes,1,15,1,16
14458-MAH,Female,66,No,3,1,1,2
14486-HAR,Female,30,Yes,14,19,1,32
14486-PUN,Female,57,Yes,8,17,1,26
14495-AND,Male,48,Yes,5,16,1,19
14528-TAM,Female,22,Yes,10,1,1,5
14567-TAM,Male,43,No,1,9,18,5
14570-HAR,Female,70,Yes,4,21,1,32
14570-KAR,Female,31,Yes,14,27,1,4
14575-MAH,Male,35,No,14,1,1,2
14579-KAR,Male,25,No,2,28,1,4
14583-DEL,Female,33,Yes,6,24,20,1
14600-ASS,Female,51,Yes,2,30,1,46
14610-CHH,Female,56,No,0,25,1,25
14613-ODI,Male,78,No,10,26,1,69
14622-PUN,Female,49,Yes,9,15,1,26
14646-UTT,Male,83,Yes,14,24,1,10
14653-PUN,Female,24,No,11,9,1,26
14654-MAH,Female,66,Yes,2,9,3,2
14658-RAJ,Female,65,No,12,24,1,11
14668-MAH,Female,31,No,1,10,1,2
14676-TAM,Male,40,No,9,35,1,5
14698-PUN,Male,25,No,4,13,22,26
14706-TAM,Female,53,No,13,13,288,5
14730-UTT,Male,46,Yes,10,3,1,10
14743-KAR,Female,75,No,7,30,1,4
14750-KAR,Female,77,Yes,15,31,1,4
14753-PUN,Female,20,No,8,3,1,26
14765-MAD,Female,73,Yes,13,2,1,20
14769-GUJ,Female,59,Yes,13,31,22,8
14782-AND,Female,21,Yes,3,10,63,19
14808-AND,Male,54,No,14,4,1,19
14825-WES,Male,48,Yes,12,17,63,3
14844-KAR,Male,25,Yes,3,33,1,4
14850-PUN,Female,37,No,7,15,4,26
14860-WES,Female,55,No,9,29,1,3
14871-KER,Male,30,No,6,34,67,73
14878-PUN,Male,44,No,1,29,1,26
14888-MAD,Female,77,No,11,17,1,20
14903-ASS,Male,52,Yes,0,29,1,46
14925-UTT,Male,49,Yes,9,33,1,10
14941-MAH,Female,43,Yes,2,30,3,2
14942-HAR,Male,23,Yes,10,11,1,32
14952-DEL,Male,82,No,10,33,20,1
14960-TEL,Female,29,Yes,15,32,1,6
14986-PUN,Male,59,Yes,2,5,1,26
15010-KER,Female,39,Yes,10,30,3,73
15018-TAM,Female,34,No,8,34,1,5
15026-ODI,Male,47,No,3,31,1,69
15051-TAM,Female,37,Yes,14,24,1,5
15054-TAM,Female,70,No,10,9,1,5
15066-HAR,Female,43,No,15,9,1,32
15082-GUJ,Female,26,No,0,25,1,8
15091-MAD,Male,63,Yes,9,26,3,20
15115-WES,Male,37,Yes,0,15,1,3
15116-PUN,Male,21,No,6,10,1,26
15121-UTT,Male,52,No,3,3,20,10
15132-GUJ,Female,22,Yes,10,1,1,8
15154-MAD,Female,27,Yes,7,11,1,20
15175-GUJ,Female,53,Yes,14,27,1,8
15205-TEL,Female,71,Yes,3,10,1,6
15291-JHA,Male,37,No,6,2,1,29
15302-TAM,Female,44,Yes,1,33,1,5
15340-TEL,Female,73,No,12,9,67,6
15349-UTT,Male,47,Yes,9,12,18,10
15358-WES,Male,26,Yes,2,3,1,3
15363-WES,Male,58,No,9,8,19,3
15367-KAR,Female,33,Yes,0,30,1,4
15382-GUJ,Female,60,No,6,19,1,8
15412-PUN,Female,48,No,10,15,1,26
15418-PUN,Female,62,No,2,31,63,26
15424-MAD,Female,29,Yes,5,19,1,20
15454-TAM,Female,52,Yes,15,3,1,5
15480-KAR,Female,40,No,4,3,1,4
15488-JAM,Male,37,Yes,0,36,1,41
15488-RAJ,Male,55,No,0,10,1,11
15506-UTT,Male,65,Yes,6,28,1,10
15512-PUN,Female,33,Yes,6,13,1,26
15513-PUN,Male,50,No,8,28,1,26
15552-TEL,Male,34,Yes,5,36,1,6
15559-MAH,Female,22,No,8,4,1,2
15571-ASS,Female,69,No,10,19,1,46
15579-WES,Male,52,Yes,1,27,1,3
15583-KER,Female,74,Yes,9,11,1,73
15584-KAR,Male,55,No,15,24,3,4
15586-HAR,Female,62,No,4,16,1,32
15588-BIH,Female,20,Yes,13,7,1,16
15591-KAR,Female,26,No,3,31,18,4
15644-ASS,Female,22,No,6,3,1,46
15658-RAJ,Female,56,No,8,33,1,11
15675-GUJ,Female,47,Yes,8,32,1,8
15681-MAH,Female,55,Yes,2,26,1,2
15687-TAM,Male,65,No,5,35,288,5
15692-UTT,Female,25,No,0,23,3,10
15712-RAJ,Female,49,No,7,34,1,11
15714-KAR,Male,38,No,13,24,1,4
15728-MAH,Female,60,No,5,30,1,2
15731-MAD,Female,79,No,6,4,72,20
15739-MAD,Female,40,No,13,9,1,20
15757-HAR,Female,41,No,6,23,22,32
15763-MAH,Male,36,No,2,23,1,2
15776-UTT,Female,38,Yes,1,19,1,10
15788-DEL,Female,63,Yes,8,5,288,1
15795-MAD,Male,59,Yes,10,20,1,20
15803-UTT,Female,34,No,6,31,18,10
15822-JAM,Female,38,Yes,1,14,1,41
15827-GUJ,Female,31,Yes,9,31,4,8
15835-TEL,Female,72,No,1,30,1,6
15837-RAJ,Female,58,Yes,3,16,1,11
15865-KER,Male,59,Yes,10,30,1,73
15872-KAR,Female,60,No,3,15,63,4
15875-MAD,Female,27,Yes,8,4,4,20
15895-AND,Male,40,Yes,3,14,1,19
15909-HAR,Male,75,No,13,20,1,32
15923-RAJ,Female,35,Yes,9,16,1,11
15947-HAR,Female,59,No,11,28,1,32
15978-PUN,Male,70,Yes,10,29,1,26
16003-MAD,Female,53,Yes,15,32,1,20
16016-TAM,Female,66,Yes,13,17,141,5
16032-AND,Female,47,No,8,18,18,19
16032-MAD,Female,20,Yes,2,1,1,20
16051-AND,Female,60,Yes,2,12,1,19
16068-BIH,Female,44,Yes,4,25,18,16
16071-HAR,Female,48,No,15,24,1,32
16124-MAH,Male,68,Yes,7,23,1,2
16141-UTT,Female,49,No,15,35,5,10
16142-TAM,Male,60,No,15,34,1,5
16149-ASS,Female,66,Yes,2,7,3,46
16194-JAM,Male,25,No,12,19,20,41
16243-DEL,Female,67,No,8,2,212,1
16244-UTT,Female,19,Yes,5,7,18,10
16245-KAR,Male,25,Yes,1,1,1,4
16271-MAH,Female,55,Yes,7,16,1,2
16274-JAM,Male,23,Yes,14,1,20,41
16287-JAM,Female,49,Yes,1,29,20,41
16297-HAR,Female,64,Yes,2,32,1,32
16313-GUJ,Male,51,No,4,30,3,8
16322-KAR,Female,60,No,13,11,1,4
16325-HAR,Male,65,No,5,24,1,32
16327-WES,Male,83,No,13,2,1,3
16339-UTT,Female,52,No,11,21,5,51
16343-MAH,Male,44,No,3,5,1,2
16346-HAR,Female,74,Yes,2,18,72,32
16364-TEL,Female,35,No,2,12,1,6
16366-KAR,Male,48,Yes,6,18,1,4
16420-AND,Female,77,No,13,12,72,19
16440-MAH,Male,40,Yes,0,36,63,2
16444-BIH,Female,24,Yes,10,4,193,16
16462-TAM,Male,36,Yes,13,10,1,5
16504-HAR,Male,49,Yes,12,27,72,32
16522-JAM,Male,80,Yes,2,12,20,41
16528-PUN,Male,29,No,12,34,20,26
16541-UTT,Female,58,No,4,35,1,10
16549-TEL,Female,44,Yes,7,25,1,6
16554-RAJ,Female,64,No,2,15,1,11
16556-GUJ,Female,52,No,9,32,4,8
16560-MAH,Female,81,Yes,12,3,1,2
16562-UTT,Female,72,Yes,10,19,3,10
16583-GUJ,Female,46,Yes,2,5,1,8
16591-JAM,Female,56,No,10,11,22,41
16623-WES,Female,55,Yes,13,24,1,3
16633-UTT,Female,48,Yes,13,3,1,51
16641-PUN,Female,26,No,3,22,67,26
16702-JAM,Female,47,Yes,3,28,1,41
16708-AND,Female,44,No,11,22,1,19
16733-ODI,Female,76,Yes,10,1,18,69
16741-UTT,Female,34,Yes,15,4,3,10
16745-UTT,Male,22,No,13,6,1,10
16754-MAH,Male,39,No,4,2,1,2
16764-WES,Male,40,No,15,13,18,3
16774-MAH,Male,38,No,7,8,1,2
16782-CHH,Male,44,Yes,14,1,1,25
16784-HAR,Female,50,Yes,6,16,1,32
16790-RAJ,Female,60,Yes,14,2,1,11
16794-TEL,Male,47,No,9,3,26,6
16805-UTT,Male,54,No,9,8,1,10
16806-RAJ,Female,25,No,7,2,1,11
16820-UTT,Male,56,No,7,32,1,10
16837-UTT,Female,43,Yes,15,18,1,10
16839-WES,Female,36,Yes,13,8,1,3
16874-UTT,Female,49,Yes,8,6,1,10
16898-UTT,Male,63,Yes,6,2,1,10
16916-AND,Female,70,Yes,8,18,4,19
16921-RAJ,Female,24,No,0,8,1,11
16931-BIH,Female,39,Yes,8,23,18,16
16932-HAR,Female,18,No,15,5,1,32
16936-GUJ,Female,29,No,4,28,63,8
16940-TAM,Male,59,Yes,11,3,1,5
16945-AND,Male,73,No,5,34,3,19
17000-ODI,Female,70,Yes,2,11,1,69
17002-UTT,Male,51,No,10,34,63,10
17032-UTT,Female,60,Yes,6,1,1,10
17050-MAH,Female,72,Yes,9,29,1,2
17052-MAD,Male,63,Yes,3,18,1,20
17059-RAJ,Female,49,Yes,9,32,1,11
17060-JAM,Female,80,No,5,8,20,41
17065-PUN,Female,52,Yes,1,27,1,26
17092-DEL,Female,78,Yes,14,10,1,1
17096-GUJ,Female,49,No,8,1,1,8
17111-MAH,Female,44,Yes,7,16,1,2
17127-GUJ,Female,20,No,15,2,1,8
17149-GUJ,Male,70,Yes,0,16,63,8
17154-HAR,Male,32,No,13,4,18,32
17154-MAH,Female,46,Yes,2,11,1,2
17155-UTT,Female,26,No,15,11,1,10
17163-JAM,Female,72,Yes,6,16,20,41
17180-UTT,Female,25,Yes,3,9,1,10
17197-WES,Male,38,No,13,5,22,3
17217-MAD,Female,53,No,14,30,1,20
17233-AND,Male,52,No,6,23,1,19
17235-AND,Female,44,Yes,13,11,141,19
17250-HAR,Female,23,Yes,12,2,18,32
17283-KAR,Female,43,No,3,16,1,4
17308-HAR,Female,59,No,10,12,1,32
17309-HAR,Male,53,Yes,8,25,1,32
17341-TAM,Female,56,No,9,9,1,5
17347-UTT,Female,79,No,12,36,1,10
17357-UTT,Female,18,No,15,5,3,10
17371-TAM,Female,55,Yes,10,6,141,5
17374-MAH,Male,33,Yes,6,12,1,2
17398-GUJ,Male,55,Yes,6,2,1,8
17437-PUN,Male,67,Yes,13,14,1,26
17476-JAM,Male,56,No,3,10,212,41
17481-MAD,Female,82,No,3,22,1,20
17488-PUN,Female,34,No,3,5,1,26
17488-RAJ,Male,33,Yes,6,1,1,11
17493-RAJ,Female,47,No,0,5,193,11
17494-BIH,Female,44,No,3,20,1,16
17539-ASS,Male,34,No,15,3,1,46
17570-GUJ,Male,56,No,8,4,1,8
17577-BIH,Female,36,Yes,15,9,1,16
17584-MAH,Male,37,No,15,5,72,2
17593-UTT,Male,51,Yes,12,23,288,10
17597-HAR,Female,33,Yes,2,6,18,32
17609-MAD,Female,42,Yes,8,22,1,20
17661-PUN,Female,19,No,2,11,72,26
17664-KAR,Female,30,No,13,22,1,4
17664-UTT,Female,53,No,8,33,1,10
17682-PUN,Female,32,No,10,2,1,26
17689-AND,Male,57,No,9,13,141,19
17695-PUN,Female,75,Yes,12,19,1,26
17707-PUD,Female,49,Yes,10,24,1,238
17723-MAH,Female,42,No,15,9,1,2
17735-MAD,Female,51,No,1,25,1,20
17736-HAR,Female,69,No,7,4,1,32
17783-TAM,Female,74,No,0,32,5,5
17796-BIH,Female,65,No,5,1,18,16
17799-UTT,Male,21,No,10,10,1,10
17814-TAM,Female,28,Yes,8,14,1,5
17816-ODI,Male,23,No,2,10,1,69
17838-WES,Female,54,Yes,5,32,1,3
17841-MAH,Female,28,No,6,30,1,2
17845-TEL,Female,79,No,8,12,5,6
17846-MAD,Female,64,Yes,2,34,1,20
17866-HAR,Female,60,Yes,5,35,67,32
17891-AND,Male,30,Yes,15,9,1,19
17893-TAM,Male,67,No,13,16,212,5
17901-TEL,Female,75,Yes,7,26,19,6
17908-HAR,Female,75,No,14,21,63,32
17908-RAJ,Female,66,No,12,13,1,11
17909-PUD,Male,48,Yes,6,33,1,238
17950-AND,Female,60,No,6,30,5,19
17956-WES,Male,57,No,2,6,1,3
17974-JAM,Male,68,No,1,15,1,41
18015-ODI,Female,28,Yes,15,9,18,69
18027-UTT,Female,58,Yes,15,30,18,10
18034-KER,Male,33,Yes,2,15,193,73
18036-TAM,Male,34,No,8,13,20,5
18063-TEL,Female,43,Yes,3,18,1,6
18063-UTT,Female,23,Yes,8,1,193,10
18064-KER,Female,74,No,5,2,1,73
18064-MAH,Female,21,Yes,4,10,1,2
18072-AND,Female,60,Yes,7,26,1,19
18081-TAM,Female,20,Yes,11,7,1,5
18103-KAR,Male,47,Yes,5,10,1,4
18125-TEL,Male,56,No,4,36,1,6
18152-ODI,Female,27,Yes,15,8,1,69
18160-KAR,Male,54,No,13,5,1,4
18203-UTT,Female,42,No,3,13,1,10
18214-MAH,Female,29,No,9,34,1,2
18220-JHA,Male,35,No,12,19,1,29
18223-MAD,Male,32,No,14,2,1,20
18228-AND,Female,32,Yes,6,21,63,19
18231-MAH,Female,77,Yes,6,9,1,2
18238-JAM,Female,69,Yes,1,14,20,41
18247-GUJ,Female,53,Yes,1,32,1,8
18252-ASS,Male,55,No,2,26,1,46
18280-DEL,Male,76,No,0,6,1,1
18308-MAH,Female,54,No,2,21,1,2
18312-RAJ,Female,33,No,1,14,63,11
18329-HAR,Female,26,Yes,8,18,1,32
18347-GUJ,Female,59,No,15,36,1,8
18349-RAJ,Male,37,No,4,2,1,11
18355-ODI,Female,30,Yes,3,1,67,69
18356-AND,Male,70,No,3,6,1,19
18357-JAM,Male,51,No,3,23,20,41
18365-KER,Female,76,Yes,14,14,1,73
18385-KAR,Female,42,No,5,12,26,4
18408-TAM,Female,39,No,12,5,1,5
18411-KER,Male,39,Yes,7,9,1,73
18415-KAR,Female,33,Yes,7,36,18,4
18417-GUJ,Female,77,Yes,9,18,1,8
18430-MAH,Female,20,Yes,3,3,1,2
18432-RAJ,Female,66,Yes,15,25,1,11
18440-HAR,Male,30,Yes,0,20,1,32
18465-MAH,Female,59,No,3,34,212,2
18470-MAD,Male,47,Yes,8,24,1,20
18475-TAM,Male,37,No,7,19,212,5
18478-PUN,Female,40,No,12,15,1,26
18488-BIH,Male,34,No,10,21,1,16
18521-RAJ,Male,76,Yes,13,15,26,11
18570-HAR,Female,69,No,13,30,1,32
18571-GUJ,Female,48,No,12,27,1,8
18585-WES,Male,59,Yes,9,15,1,3
18601-KAR,Female,40,Yes,13,4,1,4
18618-TAM,Female,37,No,8,27,1,5
18619-GUJ,Female,58,No,7,9,1,8
18641-BIH,Male,65,No,4,1,1,16
18670-CHH,Male,53,No,6,2,1,25
18675-TEL,Male,47,No,8,18,141,6
18699-HAR,Female,39,No,12,5,1,32
18706-TAM,Female,82,Yes,12,2,25,5
18730-KAR,Female,78,No,7,14,20,4
18730-PUN,Male,29,No,7,1,1,26
18732-BIH,Female,22,Yes,6,10,1,16
18756-MAD,Female,18,No,15,7,1,20
18775-MAD,Female,20,Yes,0,8,1,20
18782-KAR,Male,30,Yes,15,23,1,4
18791-AND,Female,32,No,1,28,1,19
18801-UTT,Female,57,Yes,14,17,1,10
18804-PUN,Female,71,No,0,20,1,26
18813-BIH,Female,66,Yes,10,2,1,16
18822-MAH,Female,40,Yes,7,28,141,2
18825-AND,Female,40,No,12,3,26,19
18829-TAM,Female,49,Yes,4,31,18,5
18832-UTT,Female,63,Yes,12,12,26,10
18842-HAR,Male,56,Yes,2,30,1,32
18861-JAM,Female,50,Yes,0,18,1,41
